Record_ID,Date,Crop_Name,Variety,Market_Name,District,Quantity_Arrived_kg,Demand_Level,Supply_Level,Weather,Festival_Season,Transportation_Cost,Distance_to_Market_km,Crop_Quality,Storage_Days,Buyer_Type,Farmer_Experience_Years,Market_Competition,Fuel_Price_per_Litre,Profit
R00031,17-08-2026,Ladies Finger,Premium,Chennai Market,Namakkal,3719,Medium,High,Sunny,No,1590,173,Grade A,9,Supermarket,6,Low,111,100554
R00032,14-11-2025,Carrot,Local,Salem Market,Coimbatore,478,Low,Medium,Rainy,Yes,3930,111,Grade C,6,Exporter,32,Medium,97,53098
R00033,01-06-2025,Pumpkin,Premium,Coimbatore Market,Erode,3582,Low,Low,Rainy,No,611,147,Grade A,3,Exporter,9,Medium,111,118038
R00034,28-06-2026,Chilli,Premium,Chennai Market,Namakkal,4235,Medium,High,Cloudy,Yes,4088,120,Grade B,7,Supermarket,34,Medium,110,111647
R00035,02-09-2025,Brinjal,Hybrid,Erode Market,Trichy,2020,Medium,Medium,Cloudy,Yes,1333,43,Grade A,12,Wholesaler,14,Low,103,110634
R00036,22-02-2026,Cabbage,Premium,Namakkal Market,Tiruppur,610,Low,Medium,Cloudy,Yes,4916,102,Grade B,0,Supermarket,20,Medium,117,71548
R00037,06-03-2026,Chilli,Premium,Karur Market,Dindigul,1906,Medium,Low,Cloudy,No,4178,12,Grade B,10,Exporter,11,Medium,119,101042
R00038,11-05-2025,Ladies Finger,Premium,Coimbatore Market,Tiruppur,4948,High,High,Sunny,Yes,3711,39,Grade B,5,Retailer,17,Medium,100,131065
R00039,05-08-2025,Beans,Hybrid,Chennai Market,Tiruppur,2379,Medium,Medium,Sunny,No,358,196,Grade C,1,Supermarket,15,High,92,82158
R00040,30-10-2026,Tomato,Local,Madurai Market,Madurai,266,High,Low,Sunny,Yes,4079,176,Grade A,6,Exporter,17,Medium,95,102450
R00041,13-09-2026,Ladies Finger,Premium,Erode Market,Salem,2648,Low,High,Sunny,No,4916,178,Grade B,12,Wholesaler,5,High,112,54088
R00042,05-10-2026,Carrot,Local,Trichy Market,Dindigul,1091,High,Low,Cloudy,No,3235,22,Grade C,10,Retailer,27,Medium,93,75726
R00043,20-03-2026,Cabbage,Premium,Namakkal Market,Salem,3667,Low,High,Rainy,No,4608,203,Grade B,14,Exporter,38,Medium,100,90840
R00044,09-09-2025,Drumstick,Local,Trichy Market,Namakkal,2097,Medium,High,Rainy,No,2955,12,Grade B,10,Wholesaler,32,Low,101,86923
R00045,22-09-2025,Cabbage,Hybrid,Dindigul Market,Trichy,4653,Low,High,Sunny,Yes,2177,189,Grade B,15,Wholesaler,31,High,112,85674
R00046,18-05-2026,Beans,Local,Erode Market,Trichy,1915,Medium,High,Sunny,No,4964,99,Grade B,11,Exporter,36,Medium,101,85363
R00047,21-12-2026,Beans,Hybrid,Trichy Market,Trichy,1988,Low,High,Sunny,No,1179,195,Grade C,5,Wholesaler,14,High,105,47255
R00048,11-10-2025,Radish,Premium,Karur Market,Dindigul,2418,Low,Low,Cloudy,Yes,3156,50,Grade B,0,Wholesaler,18,Low,91,100676
R00049,21-07-2026,Brinjal,Premium,Salem Market,Namakkal,940,Low,High,Cloudy,No,4121,117,Grade B,5,Retailer,17,Medium,93,53377
R00050,08-03-2025,Cauliflower,Hybrid,Erode Market,Dindigul,539,Low,Low,Rainy,No,897,68,Grade A,13,Wholesaler,34,Medium,104,72948
R00051,30-03-2026,Brinjal,Premium,Tiruppur Market,Trichy,4758,High,Low,Rainy,Yes,1902,165,Grade A,8,Retailer,11,Low,95,133953
R00052,20-07-2026,Onion,Local,Coimbatore Market,Tiruppur,3790,High,High,Cloudy,No,467,64,Grade B,9,Exporter,5,High,97,109525
R00053,28-09-2025,Beetroot,Premium,Dindigul Market,Madurai,3582,Low,High,Sunny,Yes,2376,216,Grade A,2,Retailer,11,Medium,109,84327
R00054,06-08-2026,Cucumber,Hybrid,Namakkal Market,Erode,3939,High,Medium,Rainy,No,2430,133,Grade C,15,Exporter,6,High,91,101452
R00055,19-03-2026,Radish,Hybrid,Dindigul Market,Trichy,311,Low,Low,Rainy,Yes,2407,152,Grade A,5,Exporter,34,High,104,96280
R00056,12-10-2025,Potato,Premium,Tiruppur Market,Namakkal,847,Medium,Medium,Cloudy,No,2830,176,Grade A,5,Supermarket,27,High,105,99411
R00057,23-10-2025,Pumpkin,Hybrid,Karur Market,Coimbatore,3825,Low,Medium,Cloudy,No,1149,202,Grade B,0,Exporter,27,Low,96,116884
R00058,15-06-2026,Cabbage,Premium,Namakkal Market,Namakkal,522,Low,Medium,Rainy,Yes,2559,117,Grade C,15,Retailer,2,High,109,45459
R00059,03-09-2025,Radish,Local,Trichy Market,Karur,212,High,Medium,Sunny,Yes,1129,123,Grade A,4,Exporter,19,High,112,104206
R00060,07-10-2025,Cauliflower,Hybrid,Namakkal Market,Madurai,3841,High,Low,Cloudy,Yes,4363,196,Grade A,2,Supermarket,27,Medium,119,134756
R00061,04-06-2026,Brinjal,Local,Trichy Market,Trichy,4908,High,High,Cloudy,Yes,3858,142,Grade B,11,Supermarket,36,High,102,106542
R00062,12-04-2026,Cucumber,Hybrid,Madurai Market,Madurai,4784,Medium,Low,Cloudy,Yes,2806,195,Grade B,12,Exporter,10,Medium,120,127257
R00063,07-02-2025,Potato,Premium,Dindigul Market,Chennai,922,Medium,Low,Rainy,No,325,189,Grade A,13,Wholesaler,5,Medium,115,74358
R00064,29-09-2025,Cabbage,Premium,Tiruppur Market,Erode,2791,High,High,Cloudy,No,4197,228,Grade C,1,Retailer,16,High,111,61911
R00065,22-10-2025,Carrot,Premium,Erode Market,Tiruppur,906,High,High,Sunny,No,1562,182,Grade B,0,Retailer,21,Low,99,80034
R00066,03-01-2026,Cabbage,Hybrid,Salem Market,Madurai,4451,Medium,High,Rainy,Yes,1592,49,Grade A,12,Wholesaler,32,High,94,113975
R00067,26-08-2025,Beans,Premium,Trichy Market,Namakkal,2191,High,Low,Cloudy,No,4677,45,Grade A,14,Supermarket,38,Medium,110,132508
R00068,11-03-2026,Radish,Hybrid,Namakkal Market,Trichy,1731,Medium,Medium,Sunny,Yes,3324,151,Grade B,9,Supermarket,2,High,102,72385
R00069,09-10-2025,Tomato,Premium,Coimbatore Market,Dindigul,4169,Medium,Low,Rainy,No,1994,167,Grade A,8,Wholesaler,7,High,110,107601
R00070,10-02-2025,Brinjal,Hybrid,Coimbatore Market,Dindigul,3088,High,Low,Sunny,No,2876,196,Grade B,5,Wholesaler,9,High,118,98633
R00071,10-01-2026,Chilli,Premium,Trichy Market,Salem,2205,Medium,Medium,Rainy,No,1143,124,Grade A,4,Wholesaler,26,High,101,99179
R00072,03-04-2025,Beetroot,Hybrid,Coimbatore Market,Trichy,4495,Low,Medium,Cloudy,No,4988,102,Grade C,11,Retailer,15,Medium,90,82139
R00073,27-09-2026,Cucumber,Premium,Chennai Market,Dindigul,1913,High,Low,Rainy,No,2675,171,Grade B,3,Wholesaler,3,Low,99,92053
R00074,20-05-2026,Onion,Local,Madurai Market,Karur,1211,Medium,Medium,Cloudy,No,1465,231,Grade B,3,Exporter,40,Medium,120,90985
R00075,14-10-2025,Tomato,Premium,Chennai Market,Madurai,3732,Medium,Low,Cloudy,Yes,3209,144,Grade C,11,Retailer,26,Medium,96,110577
R00076,06-05-2025,Drumstick,Hybrid,Erode Market,Madurai,4991,Low,Low,Cloudy,Yes,1231,206,Grade C,6,Retailer,36,Low,108,104970
R00077,10-08-2025,Drumstick,Local,Chennai Market,Salem,4982,Low,Medium,Sunny,Yes,4625,69,Grade A,3,Retailer,9,Low,101,105271
R00078,01-09-2025,Ladies Finger,Hybrid,Coimbatore Market,Salem,2273,Low,Low,Rainy,No,4509,34,Grade C,2,Exporter,29,Medium,106,74576
R00079,31-08-2026,Onion,Hybrid,Karur Market,Madurai,455,High,High,Rainy,No,3952,169,Grade A,1,Exporter,26,Medium,111,79950
R00080,21-04-2025,Beans,Premium,Namakkal Market,Erode,761,Medium,High,Sunny,Yes,1233,75,Grade C,10,Exporter,39,High,99,78265
R00081,10-04-2026,Chilli,Premium,Tiruppur Market,Erode,1037,High,High,Rainy,Yes,3723,120,Grade A,13,Supermarket,30,Medium,103,101262
R00082,08-04-2025,Cabbage,Hybrid,Chennai Market,Trichy,3166,Low,High,Cloudy,Yes,947,217,Grade A,2,Exporter,7,High,113,83955
R00083,17-01-2026,Beetroot,Local,Karur Market,Coimbatore,4904,High,High,Cloudy,Yes,3565,95,Grade C,13,Retailer,19,High,99,75298
R00084,27-12-2025,Onion,Premium,Karur Market,Madurai,1367,High,Medium,Sunny,Yes,3068,221,Grade C,11,Retailer,18,High,97,94506
R00085,16-03-2026,Drumstick,Premium,Dindigul Market,Dindigul,4660,Low,High,Rainy,No,437,51,Grade B,9,Supermarket,23,Low,95,113585
R00086,27-05-2025,Ladies Finger,Premium,Tiruppur Market,Erode,1262,High,High,Sunny,Yes,4545,60,Grade B,13,Exporter,22,Low,101,107265
R00087,16-11-2025,Radish,Hybrid,Dindigul Market,Dindigul,795,Low,Low,Sunny,Yes,868,74,Grade B,13,Exporter,39,Medium,103,105239
R00088,07-10-2025,Carrot,Premium,Erode Market,Chennai,3621,Low,Medium,Rainy,No,4516,175,Grade B,1,Wholesaler,26,High,91,79805
R00089,08-01-2025,Carrot,Hybrid,Madurai Market,Salem,2193,Medium,Medium,Sunny,Yes,4274,196,Grade B,5,Wholesaler,25,High,112,99731
R00090,24-08-2025,Chilli,Premium,Chennai Market,Erode,3352,High,Low,Cloudy,Yes,3966,240,Grade A,10,Exporter,37,Medium,112,149105
R00091,18-10-2026,Cauliflower,Hybrid,Erode Market,Tiruppur,270,Medium,Low,Rainy,No,3164,27,Grade B,3,Wholesaler,28,High,102,81699
R00092,21-06-2026,Onion,Hybrid,Trichy Market,Chennai,1915,Medium,Low,Sunny,Yes,4546,135,Grade A,11,Supermarket,10,Low,93,106760
R00093,30-05-2025,Brinjal,Local,Salem Market,Dindigul,1352,High,Low,Sunny,No,4000,198,Grade C,14,Supermarket,21,Low,104,82137
R00094,11-03-2025,Beans,Hybrid,Trichy Market,Trichy,4944,Low,Medium,Rainy,Yes,2742,123,Grade B,1,Retailer,24,Medium,92,96448
R00095,23-10-2026,Drumstick,Local,Dindigul Market,Dindigul,4253,Medium,Medium,Rainy,Yes,3884,237,Grade C,6,Supermarket,39,Medium,106,94966
R00096,04-06-2025,Tomato,Hybrid,Erode Market,Chennai,790,High,High,Sunny,Yes,2229,186,Grade B,14,Wholesaler,24,Medium,119,89972
R00097,17-10-2025,Cauliflower,Hybrid,Chennai Market,Dindigul,528,High,High,Cloudy,Yes,2900,29,Grade C,12,Supermarket,17,High,117,71497
R00098,04-11-2026,Cucumber,Premium,Salem Market,Chennai,767,High,High,Sunny,No,2741,172,Grade C,12,Wholesaler,39,High,120,72701
R00099,28-03-2025,Brinjal,Premium,Tiruppur Market,Chennai,1146,High,High,Rainy,Yes,3668,135,Grade B,0,Supermarket,20,Low,120,91156
R00100,08-08-2025,Cabbage,Hybrid,Madurai Market,Madurai,1226,Low,Low,Cloudy,Yes,4358,202,Grade C,1,Supermarket,40,Low,109,74423
R00101,21-01-2026,Potato,Local,Salem Market,Dindigul,1456,High,Medium,Sunny,No,3184,178,Grade C,7,Exporter,40,Medium,114,103461
R00102,05-04-2026,Carrot,Premium,Madurai Market,Trichy,3942,Low,Medium,Rainy,No,3982,201,Grade B,12,Exporter,11,Low,115,86876
R00103,12-09-2026,Potato,Hybrid,Coimbatore Market,Namakkal,3140,High,Low,Rainy,Yes,2535,26,Grade A,8,Exporter,33,Low,116,131110
R00104,24-03-2026,Onion,Local,Namakkal Market,Chennai,318,Medium,Low,Cloudy,No,2131,103,Grade A,11,Wholesaler,2,Medium,119,77260
R00105,12-04-2025,Drumstick,Premium,Chennai Market,Salem,1227,Low,Medium,Cloudy,Yes,4042,119,Grade C,0,Retailer,2,Medium,96,60722
R00106,03-06-2025,Chilli,Premium,Dindigul Market,Karur,3567,Low,Medium,Sunny,No,1198,17,Grade A,13,Exporter,5,Low,116,129640
R00107,27-05-2026,Ladies Finger,Premium,Coimbatore Market,Karur,4810,Low,High,Sunny,No,3716,5,Grade C,11,Wholesaler,37,Medium,95,88475
R00108,12-11-2026,Pumpkin,Local,Karur Market,Chennai,654,High,High,Rainy,Yes,3398,228,Grade B,1,Exporter,24,Medium,113,68690
R00109,17-01-2025,Cabbage,Local,Chennai Market,Madurai,949,High,High,Cloudy,Yes,563,95,Grade C,10,Wholesaler,30,High,105,66590
R00110,09-10-2026,Potato,Local,Erode Market,Namakkal,402,Medium,Low,Sunny,Yes,543,85,Grade B,12,Exporter,17,Low,114,101229
R00111,25-10-2026,Carrot,Hybrid,Chennai Market,Coimbatore,2819,Medium,Low,Cloudy,No,3476,195,Grade B,12,Supermarket,12,Medium,112,89838
R00112,25-05-2026,Cabbage,Premium,Trichy Market,Erode,3577,Low,Medium,Rainy,Yes,4668,80,Grade B,3,Retailer,21,High,99,78274
R00113,10-11-2025,Beans,Premium,Tiruppur Market,Salem,3736,Medium,Medium,Sunny,No,3763,75,Grade C,1,Retailer,26,Medium,106,96669
R00114,27-11-2026,Potato,Local,Salem Market,Dindigul,3689,Low,Low,Sunny,Yes,3200,97,Grade B,1,Wholesaler,29,Medium,101,112120
R00115,31-03-2026,Beetroot,Local,Dindigul Market,Salem,4437,Medium,Medium,Cloudy,No,2244,250,Grade A,0,Wholesaler,32,High,102,112584
R00116,30-07-2026,Onion,Hybrid,Trichy Market,Namakkal,1857,High,Medium,Rainy,No,1839,36,Grade A,2,Exporter,12,High,104,100169
R00117,31-03-2025,Beetroot,Premium,Chennai Market,Chennai,631,High,High,Cloudy,No,1490,187,Grade C,5,Supermarket,33,Low,93,81670
R00118,25-07-2025,Beetroot,Local,Madurai Market,Namakkal,315,Medium,High,Rainy,No,4028,210,Grade C,4,Retailer,5,Medium,102,32577
R00119,06-05-2026,Chilli,Hybrid,Tiruppur Market,Dindigul,704,Low,Medium,Rainy,Yes,3886,124,Grade C,11,Wholesaler,36,High,108,63094
R00120,06-07-2025,Beetroot,Local,Tiruppur Market,Karur,553,Low,High,Sunny,No,1548,46,Grade B,7,Supermarket,34,Medium,117,73940
R00121,22-03-2025,Brinjal,Local,Karur Market,Trichy,1125,High,Medium,Rainy,Yes,4317,169,Grade A,4,Wholesaler,40,High,118,79197
R00122,12-09-2026,Cabbage,Premium,Coimbatore Market,Coimbatore,765,Low,High,Rainy,No,1926,201,Grade C,13,Retailer,32,High,107,34896
R00123,24-10-2025,Pumpkin,Hybrid,Namakkal Market,Madurai,3426,Medium,Medium,Sunny,Yes,1494,117,Grade B,15,Exporter,14,Medium,109,116708
R00124,28-05-2025,Cabbage,Premium,Chennai Market,Chennai,3366,Low,Medium,Rainy,Yes,2814,66,Grade B,3,Supermarket,29,Low,94,114289
R00125,10-04-2025,Tomato,Hybrid,Tiruppur Market,Dindigul,3525,Low,Low,Cloudy,No,1755,200,Grade A,15,Exporter,32,Medium,105,112035
R00126,24-01-2025,Onion,Hybrid,Karur Market,Namakkal,2072,Low,High,Cloudy,Yes,614,77,Grade B,15,Supermarket,35,Low,117,83909
R00127,21-04-2025,Cauliflower,Local,Trichy Market,Chennai,3403,Medium,Low,Cloudy,Yes,4871,148,Grade A,11,Supermarket,5,Medium,106,100929
R00128,07-04-2026,Beetroot,Premium,Trichy Market,Dindigul,1073,Low,Low,Cloudy,No,2977,147,Grade B,4,Wholesaler,39,High,102,81165
R00129,28-05-2026,Tomato,Local,Coimbatore Market,Salem,2828,Medium,High,Cloudy,Yes,4423,40,Grade B,10,Wholesaler,26,High,113,77516
R00130,03-11-2025,Ladies Finger,Hybrid,Karur Market,Karur,4460,Medium,High,Rainy,No,4090,213,Grade A,11,Supermarket,8,Medium,108,94753
R00131,12-11-2025,Beetroot,Premium,Coimbatore Market,Dindigul,3987,Medium,High,Rainy,Yes,620,154,Grade B,5,Exporter,10,High,97,112425
R00132,02-02-2025,Ladies Finger,Premium,Erode Market,Madurai,255,Medium,Medium,Cloudy,Yes,3582,181,Grade A,13,Exporter,4,High,94,95230
R00133,16-06-2026,Carrot,Premium,Chennai Market,Namakkal,4404,Medium,Medium,Sunny,No,4567,92,Grade C,11,Supermarket,40,Medium,96,126834
R00134,10-09-2025,Brinjal,Premium,Trichy Market,Madurai,2538,Medium,High,Sunny,No,2797,127,Grade B,8,Supermarket,8,High,111,72634
R00135,11-07-2026,Cauliflower,Hybrid,Chennai Market,Salem,2479,Low,Medium,Rainy,Yes,3037,241,Grade B,8,Exporter,14,Low,116,82635
R00136,06-07-2026,Brinjal,Premium,Trichy Market,Salem,994,High,High,Rainy,Yes,2186,17,Grade C,7,Wholesaler,4,Low,103,75496
R00137,05-12-2025,Radish,Hybrid,Erode Market,Salem,142,High,Low,Cloudy,No,4111,171,Grade A,9,Supermarket,19,High,91,96702
R00138,02-04-2025,Pumpkin,Premium,Madurai Market,Karur,405,Low,Medium,Sunny,Yes,3452,206,Grade B,5,Supermarket,3,Low,99,86045
R00139,05-08-2026,Ladies Finger,Local,Chennai Market,Trichy,3822,High,High,Rainy,No,1299,222,Grade C,14,Supermarket,13,Low,100,68273
R00140,16-06-2025,Radish,Hybrid,Trichy Market,Salem,215,High,Medium,Cloudy,Yes,1637,161,Grade C,12,Exporter,33,Medium,92,98941
R00141,15-02-2026,Pumpkin,Local,Salem Market,Salem,4011,Medium,Low,Sunny,No,3342,65,Grade B,8,Supermarket,20,High,113,115262
R00142,10-08-2026,Tomato,Hybrid,Chennai Market,Madurai,608,High,Low,Cloudy,No,1508,108,Grade C,9,Retailer,19,Medium,109,89950
R00143,15-08-2025,Carrot,Local,Namakkal Market,Salem,3827,High,High,Cloudy,No,4699,238,Grade B,6,Wholesaler,39,Low,106,102305
R00144,03-04-2026,Chilli,Premium,Chennai Market,Erode,4721,Low,Low,Rainy,Yes,4891,142,Grade A,5,Supermarket,34,Medium,93,135056
R00145,28-11-2026,Carrot,Premium,Dindigul Market,Namakkal,844,High,Medium,Sunny,No,1280,136,Grade B,14,Retailer,36,Medium,111,100974
R00146,12-11-2025,Radish,Local,Tiruppur Market,Trichy,124,High,Low,Rainy,Yes,571,113,Grade B,2,Retailer,5,Medium,91,84590
R00147,21-10-2025,Cauliflower,Local,Salem Market,Tiruppur,3167,Medium,Medium,Cloudy,No,857,179,Grade C,4,Supermarket,8,Low,107,95696
R00148,07-02-2026,Chilli,Local,Madurai Market,Coimbatore,286,Medium,Medium,Rainy,No,4557,102,Grade A,7,Exporter,23,Low,98,84206
R00149,13-07-2025,Cucumber,Premium,Erode Market,Coimbatore,3534,High,Low,Sunny,Yes,751,30,Grade C,1,Exporter,39,High,112,148891
R00150,19-02-2025,Carrot,Premium,Coimbatore Market,Tiruppur,3695,Low,High,Sunny,Yes,1347,133,Grade B,7,Supermarket,37,High,114,102046
R00151,20-11-2026,Drumstick,Hybrid,Madurai Market,Trichy,1273,High,High,Sunny,No,2661,75,Grade A,5,Exporter,36,Medium,91,121911
R00152,19-12-2025,Pumpkin,Premium,Tiruppur Market,Karur,2711,High,Medium,Cloudy,Yes,2656,101,Grade A,15,Wholesaler,15,Medium,117,119638
R00153,26-12-2026,Potato,Hybrid,Coimbatore Market,Karur,3480,Medium,High,Rainy,Yes,3381,67,Grade B,6,Supermarket,6,Medium,117,93214
R00154,15-01-2026,Onion,Premium,Madurai Market,Coimbatore,2299,Medium,High,Rainy,Yes,796,53,Grade C,6,Exporter,14,Medium,99,88595
R00155,16-01-2025,Carrot,Local,Erode Market,Namakkal,2087,High,High,Rainy,Yes,3449,239,Grade A,10,Supermarket,25,Medium,107,84596
R00156,27-10-2026,Cabbage,Hybrid,Trichy Market,Chennai,4300,Medium,Medium,Sunny,No,2823,239,Grade A,11,Supermarket,27,Low,108,129613
R00157,15-08-2025,Radish,Local,Coimbatore Market,Trichy,4632,High,High,Rainy,No,2618,44,Grade A,10,Wholesaler,25,High,116,84606
R00158,09-09-2025,Beans,Premium,Chennai Market,Trichy,4102,High,High,Rainy,No,3975,48,Grade C,11,Wholesaler,9,High,107,88672
R00159,16-05-2026,Potato,Premium,Coimbatore Market,Karur,377,Low,High,Sunny,Yes,3578,40,Grade C,7,Retailer,10,Low,96,65518
R00160,02-06-2026,Beans,Hybrid,Coimbatore Market,Dindigul,4058,High,Medium,Sunny,Yes,4559,146,Grade B,0,Retailer,34,High,98,107514
R00161,03-07-2026,Brinjal,Local,Karur Market,Tiruppur,1568,Low,Low,Rainy,Yes,2174,54,Grade C,8,Supermarket,18,Medium,92,82022
R00162,18-01-2026,Cauliflower,Hybrid,Dindigul Market,Madurai,1950,Medium,High,Sunny,Yes,965,108,Grade B,12,Exporter,4,High,90,91043
R00163,21-12-2026,Potato,Local,Namakkal Market,Tiruppur,2813,High,Low,Rainy,Yes,2082,59,Grade C,15,Supermarket,3,Low,111,92951
R00164,15-10-2025,Cucumber,Premium,Dindigul Market,Coimbatore,1569,Medium,Low,Sunny,Yes,3462,242,Grade A,9,Wholesaler,37,Low,108,123301
R00165,03-02-2026,Pumpkin,Premium,Chennai Market,Tiruppur,1246,High,High,Sunny,No,639,30,Grade B,7,Retailer,22,High,114,92918
R00166,21-09-2026,Ladies Finger,Hybrid,Chennai Market,Coimbatore,2339,Medium,Medium,Sunny,No,4730,245,Grade B,13,Wholesaler,38,High,102,83019
R00167,29-03-2025,Beetroot,Premium,Trichy Market,Madurai,702,Low,Medium,Sunny,No,1463,194,Grade B,10,Supermarket,7,Low,90,72854
R00168,12-11-2025,Beans,Hybrid,Trichy Market,Erode,1185,Low,Low,Cloudy,No,4762,147,Grade C,13,Retailer,2,Low,101,50582
R00169,22-07-2026,Onion,Premium,Dindigul Market,Chennai,3255,Low,Medium,Cloudy,No,893,190,Grade C,7,Wholesaler,25,Low,94,89299
R00170,03-10-2025,Brinjal,Hybrid,Namakkal Market,Salem,618,Low,Medium,Cloudy,No,2655,128,Grade A,11,Supermarket,16,High,110,63751
R00171,23-05-2026,Ladies Finger,Premium,Madurai Market,Namakkal,976,Low,Medium,Sunny,No,2921,220,Grade C,12,Supermarket,29,Medium,103,60785
R00172,29-10-2026,Ladies Finger,Local,Trichy Market,Chennai,1745,Medium,Medium,Sunny,No,2814,79,Grade C,15,Wholesaler,21,Medium,98,72587
R00173,07-02-2026,Cabbage,Local,Dindigul Market,Madurai,4951,High,Low,Rainy,Yes,3981,246,Grade C,6,Exporter,19,High,92,103244
R00174,23-02-2026,Pumpkin,Hybrid,Salem Market,Trichy,2082,Medium,High,Sunny,No,3288,23,Grade B,15,Exporter,35,High,119,92300
R00175,10-12-2026,Cauliflower,Premium,Coimbatore Market,Chennai,4498,High,High,Sunny,Yes,2233,173,Grade C,11,Wholesaler,40,Low,108,115914
